,Transaction Details,Date,Deposit Amount
0,TRF FROM  Indiaforensic SERVICES,2016-08-11,15000000.0
1,TRF FROM Indiaforensic SERVICES,2016-05-19,15000000.0
2,RTGS/ICICH15365680624/Indfor,2015-12-31,15000000.0
3,NEFT/FDRL387159892/Indiaforensic,2016-04-07,15000000.0
4,RTGS/ICICH16118346689/Indfor,2016-04-27,15000000.0
5,Loan Payment Reversal For,2017-08-09,388537.06
6,RTGS/ICICH15331482629/Indfor,2015-11-27,15000000.0
7,NEFT/SBIN215231676448/Indfor,2015-08-19,10000000.0
8,NEFT/FDRL330174108/Indiaforensic,2015-08-25,10000000.0
9,TRF FROM,2016-01-04,15000000.0
10,NEFT/FDRL387159904/Indiaforensic,2016-04-07,15000000.0
11,NEFT/FDRL456531258/Indiaforensic,2016-11-07,5000000.0
12,NEFT/FDRL387159910/Indiaforensic,2016-04-07,15000000.0
13,RTGS/ICICH15226088020/Indfor,2015-08-14,10000000.0
14,RTGS/SBINH15218475275/Indfor,2015-08-06,10000000.0
15,RTGS/ICICH15267030598/Indfor,2015-09-24,15000000.0
16,NEFT/AXISF15226004882/Indfor,2015-08-14,10000000.0
17,RTGS/ICICH16118346677/Indfor,2016-04-27,15000000.0
18,RTGS/ICICH15240027488/Indfor,2015-08-28,10000000.0
19,NEFT/FDRL387159941/Indiaforensic,2016-06-03,10000000.0
20,RTGS/ICICH15240027105/Indfor,2015-08-28,10000000.0
21,NEFT/SBIN715225983508/Indfor,2015-08-14,10000000.0
22,TRF FROM,2016-01-04,15000000.0
23,NEFT/AXISF16127086937/Indfor,2016-05-06,30000000.0
24,NEFT/FDRL387160047/Indiaforensic,2016-05-16,6000000.0
25,NEFT/FDRL387159893/Indiaforensic,2016-04-07,15000000.0
26,RTGS/ICICH15337875734/Indfor,2015-12-03,10000000.0
27,Loan Payment Reversal For,2017-10-13,709160.44
28,RTGS/SBINH15338081544/Indfor,2015-12-04,10000000.0
29,Loan Payment Reversal For,2018-02-23,3006287.5
30,NEFT/FDRL387159915/Indiaforensic,2016-06-03,15000000.0
31,NEFT/SBIN715225982675/Indfor,2015-08-14,10000000.0
32,NEFT/FDRL334265523/Indiaforensic,2015-09-15,5000000.0
33,RTGS/ICICH15365680603/Indfor,2015-12-31,15000000.0
34,NEFT/FDRL387159918/Indiaforensic,2016-06-03,15000000.0
35,NEFT/FDRL334265616/Indiaforensic,2015-09-04,15000000.0
36,NEFT/FDRL387159890/Indiaforensic,2016-04-07,15000000.0
37,RTGS/ICICH15331529603/Indfor,2015-11-27,15000000.0
38,NEFT/FDRL334265620/Indiaforensic,2015-09-21,15000000.0
39,NEFT/FDRL342280633/Indiaforensic,2015-09-24,15000000.0
40,NEFT/FDRL387159882/Indiaforensic,2016-04-07,15000000.0
41,TRF FROM,2016-01-04,15000000.0
42,NEFT/FDRL342280632/Indiaforensic,2015-09-24,15000000.0
43,NEFT/FDRL387159946/Indiaforensic,2016-06-03,10000000.0
44,NEFT/SBIN815226520975/Indfor,2015-08-14,10000000.0
45,Loan Payment Reversal For,2017-09-08,25234.17
46,RTGS/ICICH15267030600/Indfor,2015-09-24,15000000.0
47,NEFT/FDRL387159886/Indiaforensic,2016-04-07,15000000.0
48,NEFT/AXISF15237064268/Indfor,2015-08-25,10000000.0
49,IW CHQ RETURN/874512/FUND,2016-08-02,12628714.0
50,TRF FROM Indiaforensic SERVICES,2015-12-15,15000000.0
51,TRF FROM Indiaforensic SERVICES,2015-10-26,15000000.0
52,NEFT/FDRL330174109/Indiaforensic,2015-08-25,10000000.0
53,RTGS/ICICH15338051249/Indfor,2015-12-04,10000000.0
54,NEFT/FDRL334265645/Indiaforensic,2015-09-04,10000000.0
55,TRF FROM  Indiaforensic SERVICES,2016-08-11,15000000.0
56,NEFT/AXISF16093010483/Indfor,2016-04-02,8000000.0
57,NEFT/AXISF16113070693/Indfor,2016-04-22,15000000.0
58,IW CHQ RETURN/873874/PAYM,2016-01-12,18087.0
59,TRF FROM Indiaforensic SERVICES,2015-10-26,15000000.0
60,RTGS/ICICH15267060069/Indfor,2015-09-24,10000000.0
61,TRF FROM Indiaforensic SERVICES,2016-05-19,15000000.0
62,RTGS/ICICH15338051257/Indfor,2015-12-04,10000000.0
