,"Trans Date and
Time",Value Date,Transaction Details,"Ref/Cheque
No",Debit,Credit,Balance,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,"Trans Date and
Value Date
Time","Ref/Cheque
Debit
Credit
Balance
No",Unnamed: 6
0,14/02/21 16:32,14/02/21,"UPI/MOB/104516494005/Zomato
payment",,145.00,,"41,545.51Cr",,,,,,,,,
1,14/02/21 18:38,14/02/21,"POS-VISA/Resilient Innovations New
Delh/1045187896",,140.00,,"41,405.51Cr",,,,,,,,,
2,14/02/21 22:33,14/02/21,"POS-VISA/THE BREW
ESTATE/104517042255",,"2,000.00",,"39,405.51Cr",,,,,,,,,
3,15/02/21 17:30,15/02/21,"IMPS-RIB/Fund Trf/104617901374/lav
gupta/157087803952INDB/",,"20,285.00",,"19,120.51Cr",,,,,,,,,
4,15/02/21 17:33,15/02/21,"IMPS-INET/Fund
Trf/104617100989/LAVGUPTA/157087803
952/ThailandRefund",,,"20,285.00","39,405.51Cr",,,,,,,,,
5,16/02/21 14:30,16/02/21,"IMPS-RIB/Fund Trf/104714033757/lav
gupta/157087803952INDB/",,5.00,,"39,400.51Cr",,,,,,,,,
6,16/02/21 19:45,16/02/21,"POS-VISA/KRISHAN KUMAR
GARG/104719478077",,680.00,,"38,720.51Cr",,,,,,,,,
7,16/02/21 19:48,16/02/21,"ATM-NFS/CASH
WITHDRAWAL/INDUSIND/104719005334",,"5,000.00",,"33,720.51Cr",,,,,,,,,
8,17/02/21 08:30,17/02/21,UPI/MOB/104808303883/UberRide,,147.00,,"33,573.51Cr",,,,,,,,,
9,17/02/21 11:38,17/02/21,UPI/MOB/104811470218/UPI,,"3,200.00",,"30,373.51Cr",,,,,,,,,
10,17/02/21 11:49,17/02/21,UPI/MOB/104811770603/UPI,,500.00,,"29,873.51Cr",,,,,,,,,
11,17/02/21 13:30,17/02/21,UPI/MOB/104813905351/UPI,,600.00,,"29,273.51Cr",,,,,,,,,
12,17/02/21 18:38,17/02/21,"POS-VISA/KRISHAN KUMAR
GARG/104818993972",,150.00,,"29,123.51Cr",,,,,,,,,
13,18/02/21 11:25,18/02/21,UPI/MOB/104911667902/Upi Transaction,,"1,000.00",,"28,123.51Cr",,,,,,,,,
14,18/02/21 12:25,18/02/21,UPI/MOB/104912536222/UPI,,"1,000.00",,"27,123.51Cr",,,,,,,,,
15,18/02/21 12:27,18/02/21,"UPI/MOB/104912588063/Payment for
ML0498950339",,489.00,,"26,634.51Cr",,,,,,,,,
16,18/02/21 13:44,18/02/21,"UPI/MOB/104913508944/IndiGo Google
Pay Payment",,198.00,,"26,436.51Cr",,,,,,,,,
17,18/02/21 14:27,18/02/21,"IMPS-MOB/Fund
Trf/104914253919/34116625/15708780395
2/",,,"28,943.00","55,379.51Cr",,,,,,,,,
18,18/02/21 18:28,18/02/21,"POS-VISA/UMBRELLA THE SUPER STOZIR
-ZIRA/1049120932",,972.00,,"54,407.51Cr",,,,,,,,,
19,18/02/21 20:19,18/02/21,"UPI/MOB/104920439838/Zomato
payment",,224.00,,"54,183.51Cr",,,,,,,,,
20,18/02/21 20:33,18/02/21,"POS-VISA/KRISHAN KUMAR
GARG/104920660259",,400.00,,"53,783.51Cr",,,,,,,,,
21,19/02/21 18:27,19/02/21,"POS-VISA/KRISHAN KUMAR
GARG/105018123343",,150.00,,"53,633.51Cr",,,,,,,,,
0,,,,,,,,Date,Transaction Particulars,Ch No,Debit,Credit,Balance,,,
1,,,,,,,,17/10/2018 BY CASH,,,,"2,000.00","2,000.00",,,
2,,,,,,,,20/10/2018 APY-SI-90220-20/10/2018,,,151.00,,"1,849.00",,,
3,,,,,,,,30/10/2018 NFSD/BWCW102106//08:24:30/830308028405,,,"1,500.00",,349.00,,,
4,,,,,,,,01/11/2018 UPI/830513567421/karan/UTIB/910010029790637/Pay to,,,,"19,000.00","19,349.00",,,
5,,,,,,,,01/11/2018 IMPS/830513336199/P2A/PTM/AMA GHARAMI/comments,,,,100.00,"19,449.00",,,
6,,,,,,,,01/11/2018 IMPS/830513336496/P2A/PTM/AMA GHARAMI/comments,,,,"9,600.00","29,049.00",,,
7,,,,,,,,,01/11/2018 IMPS/830513338488/P2A/PTM/AJESWARI NASKAR/comments,,,100.00,"29,149.00",,,
8,,,,,,,,,01/11/2018 IMPS/830513338858/P2A/PTM/AJESWARI NASKAR/comments,,,"7,700.00","36,849.00",,,
9,,,,,,,,01/11/2018 UPI/830513567452/karan/UTIB/910010029790637/Pay to,,,,"3,000.00","39,849.00",,,
10,,,,,,,,01/11/2018 NFSD/S1BW000213//14:25:42/830514030954,,,"10,000.00",,"29,849.00",,,
11,,,,,,,,01/11/2018 NFSD/S1BW000213//14:26:14/830514030967,,,"10,000.00",,"19,849.00",,,
12,,,,,,,,01/11/2018 NFSD/S1BW000213//14:26:46/830514030981,,,"10,000.00",,"9,849.00",,,
13,,,,,,,,01/11/2018 POS/JAMTARA J/DIGITAL TELE/830518843211,,,"8,000.00",,"1,849.00",,,
14,,,,,,,,02/11/2018 IMPS/830613087904/P2A/PTM/HAYRAN MOLLA/comments,,,,100.00,"1,949.00",,,
15,,,,,,,,02/11/2018 IMPS/830613088132/P2A/PTM/HAYRAN MOLLA/comments,,,,"23,400.00","25,349.00",,,
16,,,,,,,,02/11/2018 NFSD/GFNV000213//13:29:40/830613030111,,,"10,023.60",,"15,325.40",,,
17,,,,,,,,02/11/2018 NFSD/GFNV000213//13:30:16/830613030170,,,"10,023.60",,"5,301.80",,,
18,,,,,,,,02/11/2018 NFSD/GFNV000213//13:30:55/830613030225,,,"4,523.60",,778.20,,,
19,,,,,,,,,02/11/2018 IMPS/830613104110/P2A/PTM/BDUL HANNAN MIR/comments,,,"1,900.00","2,678.20",,,
20,,,,,,,,02/11/2018 Mini Stmt Tran,,,9.44,,"2,668.76",,,
21,,,,,,,,02/11/2018 Mini Stmt Tran,,,9.44,,"2,659.32",,,
22,,,,,,,,03/11/2018 IMPS/830614118388/02112018/F01,,,,"6,900.00","9,559.32",,,
23,,,,,,,,03/11/2018 IMPS/830718966768/P2A/PTM/BDUL MANNAN GHARAMI/,,,,"24,900.00","34,459.32",,,
24,,,,,,,,03/11/2018 IMPS/830718967201/P2A/PTM/BDUL MANNAN GHARAMI/,,,,"5,000.00","39,459.32",,,
25,,,,,,,,03/11/2018 Mini Stmt Tran,,,9.44,,"39,449.88",,,
26,,,,,,,,03/11/2018 NFSD/GFNV000213//18:25:54/830718011702,,,"10,023.60",,"29,426.28",,,
27,,,,,,,,03/11/2018 NFSD/GFNV000213//18:26:28/830718011745,,,"10,023.60",,"19,402.68",,,
28,,,,,,,,03/11/2018 NFSD/GFNV000213//18:27:05/830718011813,,,"10,023.60",,"9,379.08",,,
29,,,,,,,,03/11/2018 IMPS/830718991854/P2A/PTM/ISWAJIT GOUNE/comments,,,,"5,000.00","14,379.08",,,
30,,,,,,,,03/11/2018 IMPS/830718995562/P2A/PTM/ISWAJIT GOUNE/comments,,,,"4,990.00","19,369.08",,,
31,,,,,,,,03/11/2018 IMPS/830718995727/P2A/PTM/ISWAJIT GOUNE/comments,,,,"4,999.00","24,368.08",,,
32,,,,,,,,03/11/2018 IMPS/830718997063/P2A/PTM/ISWAJIT GOUNE/comments,,,,"3,800.00","28,168.08",,,
33,,,,,,,,04/11/2018 Mini Stmt Tran,,,9.44,,"28,158.64",,,
34,,,,,,,,04/11/2018 Mini Stmt Tran,,,9.44,,"28,149.20",,,
35,,,,,,,,05/11/2018 NFSD/S1NB000213//08:18:21/830908010804,,,"10,023.60",,"18,125.60",,,
36,,,,,,,,05/11/2018 NFSD/S1NB000213//08:19:14/830908010838,,,"10,023.60",,"8,102.00",,,
37,,,,,,,,05/11/2018 NFSD/S1NB000213//08:20:09/830908010864,,,"7,523.60",,578.40,,,
38,,,,,,,,05/11/2018 APY-SI-90220-05/11/2018,,,151.00,,427.40,,,
39,,,,,,,,06/11/2018 IMPS/831014070694/P2A/PTM/SHA SINGH/,,,,"16,000.00","16,427.40",,,
40,,,,,,,,06/11/2018 IMPS/831014073033/P2A/PTM/SHA SINGH/,,,,"9,000.00","25,427.40",,,
41,,,,,,,,06/11/2018 NFSD/S1BW000213//15:06:59/831015008188,,,"10,023.60",,"15,403.80",,,
0,,,Opening Balance,,,,"18,326.26Cr",,,,,,,,,
1,01/01/21 12:57,01/01/21,UPI/MOB/100112958632/UPI,,"3,300.00",,"15,026.26Cr",,,,,,,,,
2,01/01/21 18:15,01/01/21,"IMPS-RIB/Fund Trf/100118926686/lav
gupta/157087803952INDB/",,"1,000.00",,"14,026.26Cr",,,,,,,,,
3,01/01/21 20:40,01/01/21,UPI/MOB/100120156947/UPI,,330.00,,"13,696.26Cr",,,,,,,,,
4,02/01/21 11:10,02/01/21,"UPI/MOB/100211719254/BhartiAirtelLimite
dPBPostpaid",,706.00,,"12,990.26Cr",,,,,,,,,
5,02/01/21 13:02,02/01/21,"POS-VISA/Google
Adwords/100207738140",,1.00,,"12,989.26Cr",,,,,,,,,
6,02/01/21 13:11,02/01/21,"POS-VISA/Google
Adwords/100207742570",,"3,233.27",,"9,755.99Cr",,,,,,,,,
7,02/01/21 13:26,02/01/21,UPI/MOB/100213736576/Upi Transaction,,700.00,,"9,055.99Cr",,,,,,,,,
8,02/01/21 16:17,02/01/21,"REF/POS-VISA/PETRO INDIA
FIL/234863/311220",,,5.25,"9,061.24Cr",,,,,,,,,
9,03/01/21 17:27,03/01/21,"POS-VISA/KRISHAN KUMAR
GARG/100317936248",,450.00,,"8,611.24Cr",,,,,,,,,
10,03/01/21 17:36,03/01/21,"POS-VISA/UMBRELLA THE SUPER
STOZIRAKPUR/1003124123",,382.00,,"8,229.24Cr",,,,,,,,,
11,04/01/21 18:33,04/01/21,"ATM-NFS/CASH WITHDRAWAL/PEER
MUCH/100418030935",,"1,000.00",,"7,229.24Cr",,,,,,,,,
12,04/01/21 20:57,04/01/21,"UPI/MOB/100420851445/ZomatoOnlineOr
der",,140.00,,"7,089.24Cr",,,,,,,,,
13,05/01/21 16:11,05/01/21,"IMPS-MOB/Fund
Trf/100516895475/34116625/15708780395
2/",,,"42,900.00","49,989.24Cr",,,,,,,,,
0,14/02/21 16:32,14/02/21,"UPI/MOB/104516494005/Zomato
payment",,145.00,,"41,545.51Cr",,,,,,,,,
1,14/02/21 18:38,14/02/21,"POS-VISA/Resilient Innovations New
Delh/1045187896",,140.00,,"41,405.51Cr",,,,,,,,,
2,14/02/21 22:33,14/02/21,"POS-VISA/THE BREW
ESTATE/104517042255",,"2,000.00",,"39,405.51Cr",,,,,,,,,
3,15/02/21 17:30,15/02/21,"IMPS-RIB/Fund Trf/104617901374/lav
gupta/157087803952INDB/",,"20,285.00",,"19,120.51Cr",,,,,,,,,
4,15/02/21 17:33,15/02/21,"IMPS-INET/Fund
Trf/104617100989/LAVGUPTA/157087803
952/ThailandRefund",,,"20,285.00","39,405.51Cr",,,,,,,,,
5,16/02/21 14:30,16/02/21,"IMPS-RIB/Fund Trf/104714033757/lav
gupta/157087803952INDB/",,5.00,,"39,400.51Cr",,,,,,,,,
6,16/02/21 19:45,16/02/21,"POS-VISA/KRISHAN KUMAR
GARG/104719478077",,680.00,,"38,720.51Cr",,,,,,,,,
7,16/02/21 19:48,16/02/21,"ATM-NFS/CASH
WITHDRAWAL/INDUSIND/104719005334",,"5,000.00",,"33,720.51Cr",,,,,,,,,
8,17/02/21 08:30,17/02/21,UPI/MOB/104808303883/UberRide,,147.00,,"33,573.51Cr",,,,,,,,,
9,17/02/21 11:38,17/02/21,UPI/MOB/104811470218/UPI,,"3,200.00",,"30,373.51Cr",,,,,,,,,
10,17/02/21 11:49,17/02/21,UPI/MOB/104811770603/UPI,,500.00,,"29,873.51Cr",,,,,,,,,
11,17/02/21 13:30,17/02/21,UPI/MOB/104813905351/UPI,,600.00,,"29,273.51Cr",,,,,,,,,
12,17/02/21 18:38,17/02/21,"POS-VISA/KRISHAN KUMAR
GARG/104818993972",,150.00,,"29,123.51Cr",,,,,,,,,
13,18/02/21 11:25,18/02/21,UPI/MOB/104911667902/Upi Transaction,,"1,000.00",,"28,123.51Cr",,,,,,,,,
14,18/02/21 12:25,18/02/21,UPI/MOB/104912536222/UPI,,"1,000.00",,"27,123.51Cr",,,,,,,,,
15,18/02/21 12:27,18/02/21,"UPI/MOB/104912588063/Payment for
ML0498950339",,489.00,,"26,634.51Cr",,,,,,,,,
16,18/02/21 13:44,18/02/21,"UPI/MOB/104913508944/IndiGo Google
Pay Payment",,198.00,,"26,436.51Cr",,,,,,,,,
17,18/02/21 14:27,18/02/21,"IMPS-MOB/Fund
Trf/104914253919/34116625/15708780395
2/",,,"28,943.00","55,379.51Cr",,,,,,,,,
18,18/02/21 18:28,18/02/21,"POS-VISA/UMBRELLA THE SUPER STOZIR
-ZIRA/1049120932",,972.00,,"54,407.51Cr",,,,,,,,,
19,18/02/21 20:19,18/02/21,"UPI/MOB/104920439838/Zomato
payment",,224.00,,"54,183.51Cr",,,,,,,,,
20,18/02/21 20:33,18/02/21,"POS-VISA/KRISHAN KUMAR
GARG/104920660259",,400.00,,"53,783.51Cr",,,,,,,,,
21,19/02/21 18:27,19/02/21,"POS-VISA/KRISHAN KUMAR
GARG/105018123343",,150.00,,"53,633.51Cr",,,,,,,,,
0,20/02/21 11:51,20/02/21,"IMPS-RIB/Fund Trf/105111664088/lav
gupta/157087803952INDB/",,"23,000.00",,"30,633.51Cr",,,,,,,,,
1,20/02/21 17:19,20/02/21,"POS-VISA/TRUCK SUPPLIERS
CORPORPINJORE /1051117406",,500.00,,"30,133.51Cr",,,,,,,,,
2,21/02/21 00:10,21/02/21,UPI/MOB/105200115056/UPI,,"5,497.00",,"24,636.51Cr",,,,,,,,,
3,21/02/21 00:19,21/02/21,UPI/MOB/105200197184/UPI,,600.00,,"24,036.51Cr",,,,,,,,,
4,21/02/21 12:57,21/02/21,UPI/MOB/105212484829/UPI,,120.00,,"23,916.51Cr",,,,,,,,,
5,21/02/21 17:13,21/02/21,"UPI/MOB/105217677435/IndiGo Google
Pay Payment",,598.00,,"23,318.51Cr",,,,,,,,,
6,21/02/21 19:15,21/02/21,UPI/MOB/105219578539/UPI,,28.00,,"23,290.51Cr",,,,,,,,,
7,22/02/21 14:52,22/02/21,"IMPS-MOB/Fund
Trf/105314719184/34116625/157087803952
/",,,"24,410.00","47,700.51Cr",,,,,,,,,
8,22/02/21 16:34,22/02/21,"REF/POS-VISA/HPCL 0.75%
CASH/680355/200221",,,3.75,"47,704.26Cr",,,,,,,,,
9,22/02/21 16:56,22/02/21,"POS-VISA/IOCL PUMP,/105311151992",,500.00,,"47,204.26Cr",,,,,,,,,
10,22/02/21 18:18,22/02/21,"POS-VISA/KRISHAN KUMAR
GARG/105318054038",,700.00,,"46,504.26Cr",,,,,,,,,
11,22/02/21 18:26,22/02/21,UPI/MOB/105318825272/UPI,,"2,000.00",,"44,504.26Cr",,,,,,,,,
12,22/02/21 19:21,22/02/21,"UPI/MOB/105319399601/ZomatoOnlineOr
der",,300.00,,"44,204.26Cr",,,,,,,,,
13,22/02/21 20:57,22/02/21,UPI/MOB/105320169161/UPI,,600.00,,"43,604.26Cr",,,,,,,,,
14,22/02/21 21:02,22/02/21,UPI/MOB/105321288735/UPI,,550.00,,"43,054.26Cr",,,,,,,,,
